ID,Family,Population,pophost,nathost,Trmt,hatch.date,S1.cones,S2.cones,S3.cones,death.date,eclosion.date,sex,feeding1,lifespan,Dvpt.time
1,35,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
2,35,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
3,35,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
4,35,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,3,2,NA,NA,2-Jun,F,24,#VALUE!,41
5,35,Plantation_Key,C.corindum,K.paniculata,Y,22-Apr,2,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
6,35,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,5,2,1,8-May,NA,NA,24,16,#VALUE!
7,37,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
8,37,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
9,37,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,0,NA,NA,28-May,M,24,#VALUE!,36
10,37,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,2,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
11,37,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
12,37,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,2,NA,NA,28-Apr,NA,NA,24,6,#VALUE!
13,40,Plantation_Key,C.corindum,C.corindum,N,22-Apr,0,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
14,40,Plantation_Key,C.corindum,K.elegans,N,22-Apr,0,NA,NA,26-Apr,NA,NA,24,4,#VALUE!
15,40,Plantation_Key,C.corindum,K.paniculata,N,22-Apr,0,NA,NA,29-Apr,NA,NA,24,7,#VALUE!
16,40,Plantation_Key,C.corindum,K.elegans,Y,22-Apr,3,4,NA,NA,4-Jun,F,24,#VALUE!,43
17,40,Plantation_Key,C.corindum,K.paniculata,Y,22-Apr,5,NA,NA,27-Apr,NA,NA,24,5,#VALUE!
18,40,Plantation_Key,C.corindum,C.corindum,Y,22-Apr,4,1,2,19-Jul,NA,NA,24,88,#VALUE!
19,6,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
20,6,Key_Largo,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
21,6,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
22,6,Key_Largo,C.corindum,K.elegans,Y,23-Apr,4,2,NA,NA,20-Jun,F,44,#VALUE!,58
23,6,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,6,6,NA,NA,2-Jun,F,44,#VALUE!,40
24,6,Key_Largo,C.corindum,C.corindum,Y,23-Apr,2,3,3,7-May,NA,NA,44,14,#VALUE!
25,26,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,0,0,NA,9-Jun,F,44,#VALUE!,47
26,26,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,29-Apr,NA,NA,44,6,#VALUE!
27,26,Key_Largo,C.corindum,K.elegans,N,24-Apr,0,NA,NA,29-Apr,NA,NA,44,5,#VALUE!
28,26,Key_Largo,C.corindum,C.corindum,Y,23-Apr,3,1,4,25-Jun,NA,NA,44,63,#VALUE!
29,26,Key_Largo,C.corindum,K.elegans,Y,24-Apr,4,2,NA,NA,1-Jul,F,44,#VALUE!,68
30,26,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,4,3,NA,NA,7-Jun,F,44,#VALUE!,45
31,30,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,NA,NA,27-Apr,NA,NA,44,4,#VALUE!
32,30,Key_Largo,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,27-Apr,NA,NA,44,4,#VALUE!
33,30,Key_Largo,C.corindum,K.elegans,N,25-Apr,0,NA,NA,30-Apr,NA,NA,76,5,#VALUE!
34,30,Key_Largo,C.corindum,C.corindum,Y,23-Apr,1,NA,NA,28-Apr,NA,NA,44,5,#VALUE!
35,30,Key_Largo,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,29-Apr,NA,NA,44,6,#VALUE!
36,30,Key_Largo,C.corindum,K.elegans,Y,29-Apr,6,6,NA,NA,9-Jun,F,45,#VALUE!,41
37,34,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,29-Apr,NA,NA,45,6,#VALUE!
38,34,Plantation_Key,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
39,34,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,30-Apr,NA,NA,45,7,#VALUE!
40,34,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,3,NA,NA,29-Apr,NA,NA,45,6,#VALUE!
41,34,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
42,34,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,2,1,NA,NA,2-Jun,M,51,#VALUE!,39
43,36,Plantation_Key,C.corindum,K.paniculata,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
44,36,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
45,36,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
46,36,Plantation_Key,C.corindum,K.elegans,Y,23-Apr,1,3,NA,NA,27-May,M,45,#VALUE!,34
47,36,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,3,3,22-Jun,NA,NA,45,60,#VALUE!
48,36,Plantation_Key,C.corindum,K.paniculata,Y,23-Apr,2,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
49,38,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
50,38,Plantation_Key,C.corindum,K.elegans,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
51,38,Plantation_Key,C.corindum,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,,5,#VALUE!
52,38,Plantation_Key,C.corindum,K.elegans,Y,23-Apr,3,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
53,38,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,2,2,2,NA,11-Jun,M,23,#VALUE!,49
54,38,Plantation_Key,C.corindum,K.paniculata,Y,26-Apr,2,NA,NA,29-Apr,NA,NA,45,3,#VALUE!
55,41,Plantation_Key,C.corindum,C.corindum,N,23-Apr,0,NA,NA,28-Apr,NA,NA,45,5,#VALUE!
56,41,Plantation_Key,C.corindum,K.elegans,N,24-Apr,0,NA,NA,29-Apr,NA,NA,51,5,#VALUE!
57,41,Plantation_Key,C.corindum,K.paniculata,N,24-Apr,0,NA,NA,29-Apr,NA,NA,54,5,#VALUE!
58,41,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,3,5,NA,NA,17-Jun,M,51,#VALUE!,54
59,41,Plantation_Key,C.corindum,C.corindum,Y,23-Apr,1,5,2,7-Jul,NA,NA,23,75,#VALUE!
60,41,Plantation_Key,C.corindum,K.paniculata,Y,24-Apr,10,6,NA,4-May,NA,NA,54,10,#VALUE!
61,27,Key_Largo,C.corindum,C.corindum,N,23-Apr,0,0,0,NA,3-Jun,F,26,#VALUE!,41
62,27,Key_Largo,C.corindum,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,44,4,#VALUE!
63,27,Key_Largo,C.corindum,K.paniculata,N,24-Apr,0,NA,NA,29-Apr,NA,NA,44,5,#VALUE!
64,27,Key_Largo,C.corindum,K.elegans,Y,24-Apr,7,4,NA,8-Jul,NA,NA,44,75,#VALUE!
65,27,Key_Largo,C.corindum,C.corindum,Y,24-Apr,5,2,3,24-Jul,NA,NA,44,91,#VALUE!
66,27,Key_Largo,C.corindum,K.paniculata,Y,24-Apr,3,3,NA,NA,31-May,M,44,#VALUE!,37
67,39,Plantation_Key,C.corindum,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,46,4,#VALUE!
68,39,Plantation_Key,C.corindum,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,44,4,#VALUE!
69,39,Plantation_Key,C.corindum,K.paniculata,N,27-Apr,0,NA,NA,2-May,NA,NA,46,5,#VALUE!
70,39,Plantation_Key,C.corindum,K.elegans,Y,24-Apr,6,NA,NA,1-May,NA,NA,44,7,#VALUE!
71,39,Plantation_Key,C.corindum,K.paniculata,Y,27-Apr,3,NA,NA,1-May,NA,NA,46,4,#VALUE!
72,39,Plantation_Key,C.corindum,C.corindum,Y,27-Apr,2,3,5,11-May,NA,NA,46,14,#VALUE!
73,97,Leesburg,K.elegans,K.elegans,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
74,97,Leesburg,K.elegans,C.corindum,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
75,97,Leesburg,K.elegans,K.paniculata,N,24-Apr,0,NA,NA,28-Apr,NA,NA,54,4,#VALUE!
76,97,Leesburg,K.elegans,K.elegans,Y,24-Apr,5,7,NA,NA,11-Jun,F,54,#VALUE!,48
