ID,sex,thorax,beak,wing,wmorph
4,F,3.53,8.01,9.27,L
9,M,3.16,6.01,9.14,L
16,F,2.95,6.72,7.88,L
22,F,2.86,6.63,7.99,L
23,F,3.6,8.76,9.98,L
25,F,3.83,7.57,9.73,L
30,F,3.44,8.79,9.33,L
36,F,3.37,7.6,9.06,L
42,M,3.37,6.45,9.2,L
46,M,3.58,6.75,9.65,L
53,M,2.71,5.4,6.24,S
58,M,2.48,5.25,6.63,L
61,F,3.57,8.56,9.42,L
66,M,3.36,6.7,9.72,L
76,F,2.93,6.4,8.02,L
77,M,2.75,5.12,7.72,L
84,M,2.87,5.56,7.99,L
88,M,2.6,4.82,7.23,L
90,M,2.37,4.98,7.23,L
93,F,4.16,8.72,10.73,L
94,M,2.75,5.6,7.65,L
99,F,3.93,8.46,10.61,L
100,M,3.03,5.62,8.26,L
102,M,2.52,5.25,5.06,S
104,M,3.05,5.42,6.03,S
105,M,3.24,5.79,8.6,L
106,F,3.5,7.76,9.91,L
108,F,3.29,7.14,8.98,L
118,M,3.18,5.68,8.87,L
119,M,2.79,5.46,6.34,S
126,F,3.15,6.42,5.48,S
129,F,3.82,8.12,10.29,L
130,F,3.67,7.18,9.63,L
131,M,2.64,5.01,7,L
142,F,3.72,6.96,9.75,L
143,F,3.07,5.97,7.53,L
145,F,3.35,7.26,8.9,L
149,F,3.04,6.41,8.31,L
150,M,3.23,5.51,8.17,L
151,M,3.13,5.58,8.56,L
161,M,3.16,5.99,8.74,L
162,M,2.66,5.04,7.21,L
170,F,3.88,7.89,10.11,L
173,F,3.51,8.03,9.82,L
175,F,3.88,8.18,10.5,L
180,M,2.54,4.68,7.01,L
182,F,3.47,6.14,6.09,S
184,M,3.23,5.8,9.21,L
186,F,3.7,7.04,9.19,L
191,M,2.32,4.82,6.87,L
194,F,3.98,8.35,10.71,L
197,M,3.36,5.87,9.11,L
203,M,3.2,5.62,8.48,L
208,F,4.04,7.14,10.29,L
209,M,3.23,5.99,8.78,L
210,F,3.42,6.29,8.6,L
211,F,3.56,7.81,9.24,L
215,F,3.16,6.5,7.79,L
216,M,2.96,5.55,8.24,L
222,F,3.74,7.73,9.83,L
223,M,3.12,5.75,8.21,L
225,M,3.52,6.08,9.64,L
227,F,3.6,6.88,9.71,L
228,M,3.27,6.05,9.14,L
229,M,3.08,5.51,5.43,S
234,F,2.69,5.9,6.54,L
243,M,3.17,5.56,6.56,S
246,M,3.17,5.46,5.65,S
251,M,3.04,5.43,8.4,L
258,M,3.27,6.05,9.39,L
259,F,3.61,8.53,9.83,L
265,M,3.21,5.8,8.91,L
276,F,3.87,8.87,10.26,L
280,F,3.69,6.55,8.47,L
281,F,3.02,6.17,8.44,L
282,F,3.86,7.52,9.7,L
283,M,2.89,5.23,5.11,S
284,M,2.96,5.54,5.45,S
287,F,3.37,6.47,7.38,S
289,M,3.25,5.84,8.95,L
291,M,3.61,5.71,9.24,L
293,F,3.67,7.13,10.31,L
297,F,3.67,6.57,7.89,S
300,M,3.01,5.41,8.55,L
304,F,3.6,6.52,6.95,S
309,F,3.85,7.83,10.27,L
312,M,2.87,5.77,8.54,L
314,M,3.05,5.53,8.94,L
317,F,3.49,7.02,8.69,L
330,F,3.51,6.39,7.18,S
336,F,3.34,6.23,6.15,S
337,F,3.03,5.66,4.94,S
347,M,2.75,5.31,7.02,S
351,F,3.45,6.85,6.72,S
354,F,3.54,7.56,9.52,L
361,M,3,6.16,8.61,L
365,F,3.4,7.68,8.71,L
373,M,2.76,5.58,8.12,L
376,M,3.44,5.63,9.26,L
379,F,2.83,6.54,7.88,L
380,M,3.24,5.23,5.36,S
383,F,3.26,5.93,5.63,S
385,F,3.68,7.08,9.79,L
396,F,3.89,7.15,9.83,L
397,F,2.89,6.14,5.46,S
398,M,3.4,5.63,9.2,L
401,M,3.14,5.61,8.49,L
402,M,3.2,5.68,8.48,L
404,M,3.53,5.92,9.35,L
409,M,2.9,5.74,5.28,S
416,M,2.88,5.68,7.46,S
421,M,2.65,5.28,5.16,S
424,M,3.38,6.3,9.18,L
426,F,3.52,6.36,7.31,S
427,M,3.04,5.76,5.44,S
433,M,2.66,5.13,7.25,L
435,M,3.28,6.17,9.05,L
438,F,3.16,7.4,8.79,L
451,M,2.75,5.93,8.07,L
455,F,3.64,8.88,9.74,L
461,F,3.5,8.16,9.22,L
462,M,3.18,5.94,8.82,L
463,M,2.88,5.24,4.49,S
465,M,3.32,6.22,9.06,L
467,M,3.05,6.08,8.56,L
468,F,2.85,6.23,7.44,L
479,M,3.11,5.54,8.5,L
481,F,3.79,7.89,9.93,L
490,M,3.08,6.5,8.62,L
493,M,3.11,6.1,8.28,L
497,F,3.07,6.43,8.03,L
498,M,2.99,5.16,5.15,S
499,M,3.03,5.5,8.41,L
503,M,3.21,6.69,8.78,L
505,M,3.29,6.74,8.88,L
510,M,3.39,5.62,8.8,L
511,F,3.07,6.53,8.39,L
512,F,3.8,8.09,10.26,L
516,F,3.49,7.46,9.81,L
517,M,2.98,5.24,8.18,L
518,M,3.33,5.67,8.6,L
520,M,3.33,5.71,8.75,L
526,F,3.79,8.68,10.28,L
529,M,2.37,4.61,6.4,L
530,F,3.87,7.78,10.41,L
534,M,3.14,5.45,8.66,L
539,F,3.92,8.43,10.81,L
543,M,3.32,5.55,9.49,L
545,F,2.9,6.65,8.22,L
546,F,3.41,7.24,9.64,L
547,M,3.01,5.59,8.63,L
558,F,3.31,7.95,8.09,L
