Number,Parents,bugpop,natpop,hatch date,eclosion date,death date,sex,cracked,lifespan,Dvpt.time,mathost
515,97,Leesburg,Leesburg,9-Jun,NA,14-Jun,NA,n,5,#VALUE!,C.corindum
516,97,Leesburg,Leesburg,9-Jun,NA,13-Jun,NA,n,4,#VALUE!,C.corindum
517,97,Leesburg,HomesteadGRT,9-Jun,8-Jul,,F,y,-40702,29,C.corindum
518,97,Leesburg,Key_Largo,9-Jun,NA,14-Jun,NA,n,5,#VALUE!,C.corindum
519,97,Leesburg,HomesteadBV,9-Jun,NA,13-Jun,NA,n,4,#VALUE!,C.corindum
520,97,Leesburg,HomesteadBV,9-Jun,6-Jul,,F,y,-40702,27,C.corindum
521,333,GainesvilleGRT,GainesvilleGRT,9-Jun,11-Jul,,F,n,-40702,32,K.elegans
522,333,GainesvilleGRT,HomesteadGRT,9-Jun,11-Jul,,F,n,-40702,32,K.elegans
523,333,GainesvilleGRT,Lake_Wales,9-Jun,8-Jul,,M,y,-40702,29,K.elegans
524,333,GainesvilleGRT,Key_Largo,10-Jun,11-Jul,,F,n,-40703,31,K.elegans
525,333,GainesvilleGRT,Plantation_Key,9-Jun,NA,13-Jun,NA,n,4,#VALUE!,K.elegans
526,333,GainesvilleGRT,Plantation_Key,9-Jun,16-Jul,,F,y,-40702,37,K.elegans
527,210,Ft.Myers,Leesburg,11-Jun,10-Jul,,M,n,-40704,29,K.elegans
528,210,Ft.Myers,Lake_Wales,11-Jun,13-Jul,,F,n,-40704,32,K.elegans
529,210,Ft.Myers,Leesburg,11-Jun,18-Jul,,F,y,-40704,37,K.elegans
530,210,Ft.Myers,Key_Largo,11-Jun,NA,16-Jun,NA,n,5,#VALUE!,K.elegans
531,210,Ft.Myers,Key_Largo,11-Jun,NA,15-Jun,NA,n,4,#VALUE!,K.elegans
532,210,Ft.Myers,Key_Largo,11-Jun,8-Jul,,F,y,-40704,27,K.elegans
533,34,HomesteadBV,GainesvilleGRT,12-Jun,13-Jul,,F,n,-40705,31,C.corindum
534,34,HomesteadBV,Lake_Wales,12-Jun,13-Jul,,M,n,-40705,31,C.corindum
535,34,HomesteadBV,GainesvilleGRT,12-Jun,16-Jul,,F,y,-40705,34,C.corindum
536,34,HomesteadBV,Key_Largo,12-Jun,NA,16-Jun,NA,n,4,#VALUE!,C.corindum
