femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
gambusia,gambusia,g1,acclimation,584,0.11434,0.40975,0.0055,1.013513514,0
gambusia,gambusia,g10,acclimation,335,0.08593,0.31835,0.0791,1.283715925,0
gambusia,gambusia,g11,acclimation,205,0.10876,0.56083,0.04466,1.082934076,0
gambusia,gambusia,g12,acclimation,787,0.15677,0.475555,0.04247,1.093480366,0
gambusia,gambusia,g13,acclimation,47,0.11985,0.521085,0.16745,1.382865374,0
gambusia,gambusia,g14,acclimation,56,0.07959,0.529995,0.26053,1.651764941,0
gambusia,gambusia,g15,acclimation,258,0.11407,0.48083,0.25714,1.72997218,0
gambusia,gambusia,g16,acclimation,675,0.12047,0.727595,-0.00455,0.993766013,0
gambusia,gambusia,g17,acclimation,415,0.13706,0.334355,-0.06961,0.811436775,0
gambusia,gambusia,g18,acclimation,591,0.08614,0.572025,0.26781,1.611270885,0
gambusia,gambusia,g19,acclimation,967,0.11739,0.4618,0.0946,1.228226779,0
gambusia,gambusia,g2,acclimation,34,0.16997,0.408915,-0.05913,0.865147783,0
gambusia,gambusia,g20,acclimation,574,0.13875,0.532145,0.15731,1.346887473,0
gambusia,gambusia,g21,acclimation,106,0.13608,0.72998,0.08832,1.128780146,0
gambusia,gambusia,g22,acclimation,91,0.17655,0.700455,0.29023,1.522616775,1
gambusia,gambusia,g23,acclimation,57,0.13107,0.578745,0.16617,1.33524997,0
gambusia,gambusia,g24,acclimation,54,0.11172,0.530505,-0.07181,0.873219046,0
gambusia,gambusia,g25,acclimation,949,0.08275,0.492845,0.06817,1.148596216,0
gambusia,gambusia,g26,acclimation,1097,0.10233,0.50037,0.0588,1.124848716,0
gambusia,gambusia,g27,acclimation,0,0.10248,0.540355,0.13891,1.29498832,1
gambusia,gambusia,g28,acclimation,492,0.21674,1.19472,-0.29442,0.780599584,0
gambusia,gambusia,g29,acclimation,859,0.13988,0.373255,-0.00347,0.99074642,0
gambusia,gambusia,g3,acclimation,768,0.17883,0.97299,-0.1433,0.862823556,0
gambusia,gambusia,g30,acclimation,1069,0.0883,0.50425,0.0127,1.02550713,0
gambusia,gambusia,g4,acclimation,209,0.12476,0.81671,-0.28122,0.706242427,0
gambusia,gambusia,g5,acclimation,30,0.07666,0.712905,0.06581,1.096779412,0
gambusia,gambusia,g6,acclimation,293,0.1096,0.702235,-0.12885,0.831933321,0
gambusia,gambusia,g7,acclimation,359,0.14287,0.60237,0.00302,1.005026129,0
gambusia,gambusia,g8,acclimation,72,0.12621,0.440225,-0.06347,0.865518264,0
gambusia,gambusia,g9,acclimation,74,0.14993,0.309085,-0.02961,0.908580073,0
poecilia,gambusia,g1,acclimation,8,0.11434,0.40975,0.0055,1.013513514,0
poecilia,gambusia,g10,acclimation,292,0.08593,0.31835,0.0791,1.283715925,0
poecilia,gambusia,g11,acclimation,524,0.10876,0.56083,0.04466,1.082934076,0
poecilia,gambusia,g12,acclimation,246,0.15677,0.475555,0.04247,1.093480366,0
poecilia,gambusia,g13,acclimation,697,0.11985,0.521085,0.16745,1.382865374,0
poecilia,gambusia,g14,acclimation,935,0.07959,0.529995,0.26053,1.651764941,0
poecilia,gambusia,g15,acclimation,542,0.11407,0.48083,0.25714,1.72997218,0
poecilia,gambusia,g16,acclimation,228,0.12047,0.727595,-0.00455,0.993766013,0
poecilia,gambusia,g17,acclimation,167,0.13706,0.334355,-0.06961,0.811436775,0
poecilia,gambusia,g18,acclimation,280,0.08614,0.572025,0.26781,1.611270885,0
poecilia,gambusia,g19,acclimation,102,0.11739,0.4618,0.0946,1.228226779,0
poecilia,gambusia,g2,acclimation,27,0.16997,0.408915,-0.05913,0.865147783,0
poecilia,gambusia,g20,acclimation,347,0.13875,0.532145,0.15731,1.346887473,0
poecilia,gambusia,g21,acclimation,865,0.13608,0.72998,0.08832,1.128780146,0
poecilia,gambusia,g22,acclimation,1061,0.17655,0.700455,0.29023,1.522616775,1
poecilia,gambusia,g23,acclimation,222,0.13107,0.578745,0.16617,1.33524997,0
poecilia,gambusia,g24,acclimation,1002,0.11172,0.530505,-0.07181,0.873219046,0
poecilia,gambusia,g25,acclimation,213,0.08275,0.492845,0.06817,1.148596216,0
poecilia,gambusia,g26,acclimation,0,0.10233,0.50037,0.0588,1.124848716,0
poecilia,gambusia,g27,acclimation,1062,0.10248,0.540355,0.13891,1.29498832,1
poecilia,gambusia,g28,acclimation,352,0.21674,1.19472,-0.29442,0.780599584,0
poecilia,gambusia,g29,acclimation,32,0.13988,0.373255,-0.00347,0.99074642,0
poecilia,gambusia,g3,acclimation,9,0.17883,0.97299,-0.1433,0.862823556,0
poecilia,gambusia,g30,acclimation,0,0.0883,0.50425,0.0127,1.02550713,0
poecilia,gambusia,g4,acclimation,450,0.12476,0.81671,-0.28122,0.706242427,0
poecilia,gambusia,g5,acclimation,564,0.07666,0.712905,0.06581,1.096779412,0
poecilia,gambusia,g6,acclimation,371,0.1096,0.702235,-0.12885,0.831933321,0
poecilia,gambusia,g7,acclimation,47,0.14287,0.60237,0.00302,1.005026129,0
poecilia,gambusia,g8,acclimation,917,0.12621,0.440225,-0.06347,0.865518264,0
poecilia,gambusia,g9,acclimation,38,0.14993,0.309085,-0.02961,0.908580073,0
