"maleID","male_species","female_species","combination","follow","gonopodial_swing","gonopodial_thrust","jolt","sigmoid_display"
"gambusia_m1","gambusia","poecilia","hetero",0,1,1,0,NA
"gambusia_m10","gambusia","gambusia","con",3,9,3,4,NA
"gambusia_m11","gambusia","poecilia","hetero",3,1,4,1,NA
"gambusia_m12","gambusia","gambusia","con",7,0,6,1,NA
"gambusia_m13","gambusia","poecilia","hetero",0,0,0,0,NA
"gambusia_m14","gambusia","gambusia","con",0,3,3,0,NA
"gambusia_m15","gambusia","poecilia","hetero",1,5,3,0,NA
"gambusia_m16","gambusia","gambusia","con",1,6,1,2,NA
"gambusia_m2","gambusia","gambusia","con",2,1,6,4,NA
"gambusia_m3","gambusia","poecilia","hetero",0,13,8,1,NA
"gambusia_m4","gambusia","gambusia","con",3,0,4,1,NA
"gambusia_m5","gambusia","poecilia","hetero",0,1,1,1,NA
"gambusia_m6","gambusia","gambusia","con",1,9,1,1,NA
"gambusia_m7","gambusia","poecilia","hetero",2,1,2,2,NA
"gambusia_m8","gambusia","gambusia","con",2,13,5,0,NA
"gambusia_m9","gambusia","poecilia","hetero",0,0,1,0,NA
"poecilia_m1","poecilia","poecilia","con",14,0,2,NA,0
"poecilia_m10","poecilia","gambusia","hetero",0,2,2,NA,0
"poecilia_m11","poecilia","poecilia","con",20,5,2,NA,9
"poecilia_m12","poecilia","gambusia","hetero",12,0,6,NA,6
"poecilia_m13","poecilia","poecilia","con",16,2,2,NA,3
"poecilia_m14","poecilia","gambusia","hetero",0,0,1,NA,3
"poecilia_m15","poecilia","poecilia","con",8,9,1,NA,11
"poecilia_m16","poecilia","gambusia","hetero",6,0,0,NA,0
"poecilia_m2","poecilia","gambusia","hetero",6,1,0,NA,2
"poecilia_m3","poecilia","poecilia","con",4,4,0,NA,3
"poecilia_m4","poecilia","gambusia","hetero",26,8,4,NA,0
"poecilia_m5","poecilia","poecilia","con",16,2,0,NA,4
"poecilia_m6","poecilia","gambusia","hetero",16,0,7,NA,0
"poecilia_m7","poecilia","poecilia","con",18,2,0,NA,1
"poecilia_m8","poecilia","gambusia","hetero",2,12,2,NA,14
"poecilia_m9","poecilia","poecilia","con",0,0,0,NA,3
